,,,,,,,,
N=7,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,Bom(0) Ruim(1),-
6,-0.055239066802,34.052437417338,0.000000519240559,-0.31527305,-19281.6840136507,-19281.683591495592,0,
2,-0.054881664151,36.207330684091,0.002215606979,-0.3540874703,-19281.6831847391,-19281.677256565163,0,
8,-0.054388355471,42.488292352246,0.000002192795264,-0.4480163977,-19281.6822896653,-19281.681994483886,0,
4,-0.052999083672,34.108175708844,0.1907931021,-0.1439184462,-19281.6838670735,-19281.679777590274,1,
2,-0.052781987828,38.324765014682,0.008000376502,-0.4142529925,-19281.6840036671,-19281.678140834836,0,
4,-0.05266281973,38.431960115603,0.00254721555,-0.423357065,-19281.6792116926,-19281.678594457815,0,
2,-0.052364687354,39.512191776837,0.04950356342,-0.3859418783,-19281.6780114994,-19281.677256565163,1,
2,-0.052333432371,40.832577214508,0.5151662837E-01,-0.3587089967E+00,-19281.6840260703,-19281.67741508,1,
2,-0.052301428538,44.042538763049,0.0626479628,-0.5663412497,-19281.684023751,-19281.677529286499,0,
,,,,,,,,
N=8,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,,
2,-0.057515433304,39.318296962635,0.09306319777,-0.29775285,-22035.16566095,-22035.163414163006,0,
4,-0.057419381137,38.498112878282,0.1756721538,-0.1183663334,-22035.1656622393,-22035.163673938961,0,
4,-0.057410107754,38.701662157236,0.102016844,-0.266059596,-22035.1656590538,-22035.163514749140,0,
12,-0.057370975122,42.300004040663,0.0000005042694998,-0.5187931828,-22035.1638866446,-22035.163466775659,1,
4,-0.057369798389,40.425386525777,0.137160719,-0.2221499312,-22035.1639152358,-22035.163500914121,1,
2,-0.05719467382,40.843487337623,0.0890411659,-0.3244763451,-22035.1630849975,-22035.162667975812,1,
2,-0.057080171563,43.536254211093,0.06708931518,-0.3956900784,-22035.1628686483,-22035.162488061895,1,
1,-0.057073424071,42.940092215052,0.07075084276,-0.3827625931,-22035.1656610757,-22035.162482060543,0,
1,-0.057019385855,41.480491220574,0.2098699319,-0.08799723586,-22035.1631598353,-22035.162767465801,1,
2,-0.057016974658,43.909385230864,0.04067559088,-0.4569119746,-22035.1631878318,-22035.162713798978,1,
1,-0.056530046174,49.223281062604,0.08842657816,-0.4071425047,-22035.1621999453,-22035.161825145373,1,
2,-0.055372253298,39.917277693783,0.2558550179,-0.1048502873,-22035.1656378108,-22035.159147166782,0,
2,-0.055339312878,40.485136940598,0.08312506677,-0.3058754178,-22035.1637202172,-22035.159159862749,1,
2,-0.055239579813,40.910065919917,0.06710877578,-0.3337927242,-22035.1656665159,-22035.157968889576,0,
,,,,,,,,
,,,,,,,,
N=9,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,,
6,-0.059983121061,43.606335070289,0.0000009190382736,-0.3645576491,-24788.6435233311,-24788.643087837252,1,
1,-0.059890277886,45.650584039115,0.01755625707,-0.4036795065,-24788.6452141622,-24788.642919673308,0,
1,-0.059812657229,43.754655940653,0.208940984,-0.1417511266,-24788.6458174022,-24788.643187821312,0,
2,-0.059793218701,43.506880829381,0.1734369447,-0.1495329348,-24788.6458175332,-24788.643195190518,0,
2,-0.059792247988,44.414571826009,0.1160868751,-0.2925531212,-24788.6438071862,-24788.643206871871,1,
2,-0.059787073086,45.2531259297,0.02686089963,-0.3902397656,-24788.64521372,-24788.643002577708,0,
